全部,#genre#
安徽卫视,http://1.197.34.233:808/hls/68/index.m3u8
辽宁卫视,http://1.197.34.233:808/hls/69/index.m3u8
陕西卫视,http://1.197.34.233:808/hls/70/index.m3u8
贵州卫视,http://1.197.34.233:808/hls/71/index.m3u8
河北卫视,http://1.197.34.233:808/hls/72/index.m3u8
江西卫视,http://1.197.34.233:808/hls/73/index.m3u8
湖南卫视,http://1.197.34.233:808/hls/74/index.m3u8
深圳卫视,http://1.197.34.233:808/hls/75/index.m3u8
四川卫视,http://1.197.34.233:808/hls/76/index.m3u8
湖北卫视,http://1.197.34.233:808/hls/77/index.m3u8
天津卫视,http://1.197.34.233:808/hls/78/index.m3u8
云南卫视,http://1.197.34.233:808/hls/79/index.m3u8
重庆卫视,http://1.197.34.233:808/hls/80/index.m3u8
吉林卫视,http://1.197.34.233:808/hls/81/index.m3u8
宁夏卫视,http://1.197.34.233:808/hls/82/index.m3u8
东南卫视,http://1.197.34.233:808/hls/83/index.m3u8
内蒙古卫视,http://1.197.34.233:808/hls/84/index.m3u8
广西卫视,http://1.197.34.233:808/hls/85/index.m3u8
山西卫视,http://1.197.34.233:808/hls/86/index.m3u8
海南卫视,http://1.197.34.233:808/hls/88/index.m3u8
甘肃卫视,http://1.197.34.233:808/hls/89/index.m3u8
青海卫视,http://1.197.34.233:808/hls/90/index.m3u8
金鹰卡通,http://1.197.34.233:808/hls/91/index.m3u8
嘉佳卡通,http://1.197.34.233:808/hls/92/index.m3u8
卡酷动画,http://1.197.34.233:808/hls/93/index.m3u8
炫动卡通,http://1.197.34.233:808/hls/94/index.m3u8
信阳综合频道,http://1.197.34.233:808/hls/100/index.m3u8
信阳公共频道,http://1.197.34.233:808/hls/101/index.m3u8
浉河广电中心,http://1.197.34.233:808/hls/102/index.m3u8
平桥广电中心,http://1.197.34.233:808/hls/103/index.m3u8
重庆新闻HD,http://27.10.208.176:8005/udp/225.0.4.188:7980
重庆社会与法HD,http://27.10.208.176:8005/udp/225.0.4.190:7980
重庆少儿HD,http://27.10.208.176:8005/udp/225.0.4.191:7980
重庆影视HD,http://27.10.208.176:8005/udp/225.0.4.192:7980
重庆科教HD,http://27.10.208.176:8005/udp/225.0.4.193:7980
重庆娱乐HD,http://27.10.208.176:8005/udp/225.0.4.194:7980
重庆汽摩HD,http://27.10.208.176:8005/udp/225.0.4.195:7980
重庆时尚生活HD,http://27.10.208.176:8005/udp/225.0.4.196:7980
重庆新农村HD,http://27.10.208.176:8005/udp/225.0.4.189:7980
CQTV移动HD,http://27.10.208.176:8005/udp/225.0.4.215:7980
时尚购物HD,http://27.10.208.176:8005/udp/225.0.4.198:7980
CCTV-1,http://27.10.208.176:8005/udp/225.0.4.74:7980
CCTV-2,http://27.10.208.176:8005/udp/225.0.4.132:7980
CCTV-3,http://27.10.208.176:8005/udp/225.0.4.142:7980
CCTV-4,http://27.10.208.176:8005/udp/225.0.4.176:7980
CCTV-5,http://27.10.208.176:8005/udp/225.0.4.143:7980
CCTV5+,http://27.10.208.176:8005/udp/225.0.4.73:7980
CCTV-6,http://27.10.208.176:8005/udp/225.0.4.144:7980
CCTV-7,http://27.10.208.176:8005/udp/225.0.4.127:7980
CCTV-8,http://27.10.208.176:8005/udp/225.0.4.137:7980
CCTV-9,http://27.10.208.176:8005/udp/225.0.4.131:7980
CCTV-10,http://27.10.208.176:8005/udp/225.0.4.130:7980
CCTV-11,http://27.10.208.176:8005/udp/225.0.4.218:7980
CCTV-12,http://27.10.208.176:8005/udp/225.0.4.129:7980
CCTV-13,http://27.10.208.176:8005/udp/225.0.4.219:7980
CCTV-14,http://27.10.208.176:8005/udp/225.0.4.128:7980
CCTV-15,http://27.10.208.176:8005/udp/225.0.4.220:7980
CCTV-17,http://27.10.208.176:8005/udp/225.0.4.179:7980
CGTN,http://27.10.208.176:8005/udp/225.0.4.12:7980
湖南卫视,http://27.10.208.176:8005/udp/225.0.4.75:7980
浙江卫视,http://27.10.208.176:8005/udp/225.0.4.81:7980
江苏卫视,http://27.10.208.176:8005/udp/225.0.4.79:7980
安徽卫视,http://27.10.208.176:8005/udp/225.0.4.133:7980
广东卫视,http://27.10.208.176:8005/udp/225.0.4.84:7980
北京卫视,http://27.10.208.176:8005/udp/225.0.4.78:7980
天津卫视,http://27.10.208.176:8005/udp/225.0.4.82:7980
辽宁卫视,http://27.10.208.176:8005/udp/225.0.4.98:7980
东方卫视,http://27.10.208.176:8005/udp/225.0.4.80:7980
纪实HD,http://27.10.208.176:8005/udp/225.0.4.99:7980
河北卫视,http://27.10.208.176:8005/udp/225.0.4.174:7980
贵州卫视,http://27.10.208.176:8005/udp/225.0.4.175:7980
山东卫视,http://27.10.208.176:8005/udp/225.0.4.199:7980
东南卫视,http://27.10.208.176:8005/udp/225.0.4.200:7980
黑龙江卫视,http://27.10.208.176:8005/udp/225.0.4.201:7980
深圳卫视,http://27.10.208.176:8005/udp/225.0.4.202:7980
江西卫视,http://27.10.208.176:8005/udp/225.0.4.203:7980
四川卫视,http://27.10.208.176:8005/udp/225.0.4.204:7980
重庆卫视,http://27.10.208.176:8005/udp/225.0.4.187:7980
CQTV新闻,http://27.10.208.176:8005/udp/225.0.4.59:7980
CQTV汽摩,http://27.10.208.176:8005/udp/225.0.4.61:7980
CQTV影视,http://27.10.208.176:8005/udp/225.0.4.62:7980
CQTV科教,http://27.10.208.176:8005/udp/225.0.4.63:7980
CQTV社会与法,http://27.10.208.176:8005/udp/225.0.4.64:7980
CQTV娱乐,http://27.10.208.176:8005/udp/225.0.4.65:7980
CQTV移动,http://27.10.208.176:8005/udp/225.0.4.68:7980
CQTV时尚生活,http://27.10.208.176:8005/udp/225.0.4.69:7980
CQTV新农村,http://27.10.208.176:8005/udp/225.0.4.70:7980
CQTV少儿,http://27.10.208.176:8005/udp/225.0.4.71:7980
爱生活,http://27.10.208.176:8005/udp/225.0.4.164:7980
IPTV相声小品,http://27.10.208.176:8005/udp/225.0.4.56:7980
IPTV野外,http://27.10.208.176:8005/udp/225.0.4.57:7980
IPTV3+,http://27.10.208.176:8005/udp/225.0.4.51:7980
IPTV5+,http://27.10.208.176:8005/udp/225.0.4.53:7980
IPTV6+,http://27.10.208.176:8005/udp/225.0.4.50:7980
IPTV8+,http://27.10.208.176:8005/udp/225.0.4.54:7980
经典电影,http://27.10.208.176:8005/udp/225.0.4.48:7980
解密,http://27.10.208.176:8005/udp/225.0.4.153:7980
全纪实,http://27.10.208.176:8005/udp/225.0.4.113:7980
纪实HD,http://27.10.208.176:8005/udp/225.0.4.99:7980
地理,http://27.10.208.176:8005/udp/225.0.4.149:7980
古装剧场,http://27.10.208.176:8005/udp/225.0.4.147:7980
武侠剧场,http://27.10.208.176:8005/udp/225.0.4.168:7980
军旅剧场,http://27.10.208.176:8005/udp/225.0.4.146:7980
喜剧影院,http://27.10.208.176:8005/udp/225.0.4.169:7980
动作影院,http://27.10.208.176:8005/udp/225.0.4.170:7980
家庭影院,http://27.10.208.176:8005/udp/225.0.4.171:7980
星影,http://27.10.208.176:8005/udp/225.0.4.172:7980
CCTV-1,http://116.117.104.38:8096/tsfile/live/0001_1.m3u8
CCTV-2,http://116.117.104.38:8096/tsfile/live/0002_1.m3u8
CCTV-3,http://116.117.104.38:8096/tsfile/live/0003_1.m3u8
CCTV-4,http://116.117.104.38:8096/tsfile/live/0004_1.m3u8
CCTV-5,http://116.117.104.38:8096/tsfile/live/0005_1.m3u8
CCTV6-电影,http://116.117.104.38:8096/tsfile/live/0006_1.m3u8
CCTV-7,http://116.117.104.38:8096/tsfile/live/0007_1.m3u8
CCTV-8,http://116.117.104.38:8096/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://116.117.104.38:8096/tsfile/live/0009_1.m3u8
CCTV-10,http://116.117.104.38:8096/tsfile/live/0010_1.m3u8
CCTV-11,http://116.117.104.38:8096/tsfile/live/0011_1.m3u8
CCTV-12,http://116.117.104.38:8096/tsfile/live/0012_1.m3u8
CCTV-13,http://116.117.104.38:8096/tsfile/live/0013_1.m3u8
CCTV-14,http://116.117.104.38:8096/tsfile/live/0014_1.m3u8
CCTV-15,http://116.117.104.38:8096/tsfile/live/0014_2.m3u8
内蒙古,http://116.117.104.38:8096/tsfile/live/0018_1.m3u8
浙江卫视,http://116.117.104.38:8096/tsfile/live/0124_1.m3u8
江苏卫视,http://116.117.104.38:8096/tsfile/live/0127_1.m3u8
湖北卫视,http://116.117.104.38:8096/tsfile/live/0132_1.m3u8
广东卫视,http://116.117.104.38:8096/tsfile/live/0125_1.m3u8
山西卫视,http://116.117.104.38:8096/tsfile/live/0118_1.m3u8
贵州卫视,http://116.117.104.38:8096/tsfile/live/0120_1.m3u8
上海卫视,http://116.117.104.38:8096/tsfile/live/0107_1.m3u8
辽宁卫视,http://116.117.104.38:8096/tsfile/live/0121_1.m3u8
山东卫视,http://116.117.104.38:8096/tsfile/live/0131_1.m3u8
黑龙江卫视,http://116.117.104.38:8096/tsfile/live/0143_1.m3u8
广西卫视,http://116.117.104.38:8096/tsfile/live/0113_1.m3u8
兵团卫视,http://116.117.104.38:8096/tsfile/live/0115_1.m3u8
安徽卫视,http://116.117.104.38:8096/tsfile/live/0130_1.m3u8
北京卫视,http://116.117.104.38:8096/tsfile/live/0122_1.m3u8
东南卫视,http://116.117.104.38:8096/tsfile/live/0137_1.m3u8
天津卫视,http://116.117.104.38:8096/tsfile/live/0135_1.m3u8
湖南卫视,http://116.117.104.38:8096/tsfile/live/0128_1.m3u8
四川卫视,http://116.117.104.38:8096/tsfile/live/0123_1.m3u8
深圳卫视,http://116.117.104.38:8096/tsfile/live/0126_1.m3u8
宁夏卫视,http://116.117.104.38:8096/tsfile/live/0112_1.m3u8
云南卫视,http://116.117.104.38:8096/tsfile/live/0119_1.m3u8
河南卫视,http://116.117.104.38:8096/tsfile/live/0139_1.m3u8
江西卫视,http://116.117.104.38:8096/tsfile/live/0138_1.m3u8
IPTV 6+,http://116.117.104.38:8096/tsfile/live/1010_1.m3u8
CCTV-1,http://116.117.104.21:8096/tsfile/live/0001_1.m3u8
CCTV-2,http://116.117.104.21:8096/tsfile/live/0002_1.m3u8
CCTV-3,http://116.117.104.21:8096/tsfile/live/0003_1.m3u8
CCTV-4,http://116.117.104.21:8096/tsfile/live/0004_1.m3u8
CCTV-5,http://116.117.104.21:8096/tsfile/live/0005_1.m3u8
CCTV6-电影,http://116.117.104.21:8096/tsfile/live/0006_1.m3u8
CCTV-7,http://116.117.104.21:8096/tsfile/live/0007_1.m3u8
CCTV-8,http://116.117.104.21:8096/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://116.117.104.21:8096/tsfile/live/0009_1.m3u8
CCTV-10,http://116.117.104.21:8096/tsfile/live/0010_1.m3u8
CCTV-11,http://116.117.104.21:8096/tsfile/live/0011_1.m3u8
CCTV-12,http://116.117.104.21:8096/tsfile/live/0012_1.m3u8
CCTV-13,http://116.117.104.21:8096/tsfile/live/0013_1.m3u8
CCTV-14,http://116.117.104.21:8096/tsfile/live/0014_1.m3u8
CCTV-15,http://116.117.104.21:8096/tsfile/live/0014_2.m3u8
内蒙古,http://116.117.104.21:8096/tsfile/live/0018_1.m3u8
浙江卫视,http://116.117.104.21:8096/tsfile/live/0124_1.m3u8
江苏卫视,http://116.117.104.21:8096/tsfile/live/0127_1.m3u8
湖北卫视,http://116.117.104.21:8096/tsfile/live/0132_1.m3u8
广东卫视,http://116.117.104.21:8096/tsfile/live/0125_1.m3u8
山西卫视,http://116.117.104.21:8096/tsfile/live/0118_1.m3u8
贵州卫视,http://116.117.104.21:8096/tsfile/live/0120_1.m3u8
上海卫视,http://116.117.104.21:8096/tsfile/live/0107_1.m3u8
辽宁卫视,http://116.117.104.21:8096/tsfile/live/0121_1.m3u8
山东卫视,http://116.117.104.21:8096/tsfile/live/0131_1.m3u8
黑龙江卫视,http://116.117.104.21:8096/tsfile/live/0143_1.m3u8
广西卫视,http://116.117.104.21:8096/tsfile/live/0113_1.m3u8
兵团卫视,http://116.117.104.21:8096/tsfile/live/0115_1.m3u8
安徽卫视,http://116.117.104.21:8096/tsfile/live/0130_1.m3u8
北京卫视,http://116.117.104.21:8096/tsfile/live/0122_1.m3u8
东南卫视,http://116.117.104.21:8096/tsfile/live/0137_1.m3u8
天津卫视,http://116.117.104.21:8096/tsfile/live/0135_1.m3u8
湖南卫视,http://116.117.104.21:8096/tsfile/live/0128_1.m3u8
四川卫视,http://116.117.104.21:8096/tsfile/live/0123_1.m3u8
深圳卫视,http://116.117.104.21:8096/tsfile/live/0126_1.m3u8
宁夏卫视,http://116.117.104.21:8096/tsfile/live/0112_1.m3u8
云南卫视,http://116.117.104.21:8096/tsfile/live/0119_1.m3u8
河南卫视,http://116.117.104.21:8096/tsfile/live/0139_1.m3u8
江西卫视,http://116.117.104.21:8096/tsfile/live/0138_1.m3u8
IPTV 6+,http://116.117.104.21:8096/tsfile/live/1010_1.m3u8
央视频道,#genre#
CCTV1,http://113.101.245.212:9988/udp/239.77.1.17:5146
CCTV1,http://113.101.245.212:9988/udp/239.77.1.144:5146
CCTV1,http://113.101.245.212:9988/udp/239.77.0.86:5146
CCTV2,http://113.101.245.212:9988/udp/239.77.1.158:5146
CCTV2,http://113.101.245.212:9988/udp/239.77.0.137:5146
CCTV3,http://113.101.245.212:9988/udp/239.77.0.169:5146
CCTV3,http://113.101.245.212:9988/udp/239.77.0.175:5146
CCTV4,http://113.101.245.212:9988/udp/239.77.1.163:5146
CCTV4,http://113.101.245.212:9988/udp/239.77.1.166:5146
CCTV5+,http://113.101.245.212:9988/udp/239.77.1.31:5146
CCTV5+,http://113.101.245.212:9988/udp/239.77.1.147:5146
CCTV6,http://113.101.245.212:9988/udp/239.77.0.171:5146
CCTV7,http://113.101.245.212:9988/udp/239.77.1.159:5146
CCTV7,http://113.101.245.212:9988/udp/239.77.0.138:5146
CCTV8,http://113.101.245.212:9988/udp/239.77.0.181:5146
CCTV9,http://113.101.245.212:9988/udp/239.77.1.168:5146
CCTV12,http://113.101.245.212:9988/udp/239.77.1.109:5146
CCTV12,http://113.101.245.212:9988/udp/239.77.1.170:5146
CCTV14,http://113.101.245.212:9988/udp/239.77.1.171:5146
CCTV14,http://113.101.245.212:9988/udp/239.77.0.133:5146
CCTV16,http://113.101.245.212:9988/udp/239.77.0.165:5146
CCTV164K,http://113.101.245.212:9988/udp/239.77.1.98:5146
CCTV17,http://113.101.245.212:9988/udp/239.77.1.121:5146
CGTN西班牙语,http://113.101.245.212:9988/udp/239.77.0.221:5146
CGTN法语,http://113.101.245.212:9988/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.101.245.212:9988/udp/239.253.43.200:5146
CGTN俄语,http://113.101.245.212:9988/udp/239.253.43.201:5146
CCTV1,http://1.197.34.233:808/hls/1/index.m3u8
CCTV2,http://1.197.34.233:808/hls/2/index.m3u8
CCTV4,http://1.197.34.233:808/hls/4/index.m3u8
CCTV5,http://1.197.34.233:808/hls/5/index.m3u8
CCTV6,http://1.197.34.233:808/hls/6/index.m3u8
CCTV7,http://1.197.34.233:808/hls/7/index.m3u8
CCTV8,http://1.197.34.233:808/hls/8/index.m3u8
CCTV9,http://1.197.34.233:808/hls/9/index.m3u8
CCTV10,http://1.197.34.233:808/hls/10/index.m3u8
CCTV11,http://1.197.34.233:808/hls/11/index.m3u8
CCTV12,http://1.197.34.233:808/hls/12/index.m3u8
CCTV13,http://1.197.34.233:808/hls/13/index.m3u8
CCTV14,http://1.197.34.233:808/hls/14/index.m3u8
CCTV15,http://1.197.34.233:808/hls/15/index.m3u8
CCTV17,http://1.197.34.233:808/hls/17/index.m3u8
CCTV5+,http://1.197.34.233:808/hls/18/index.m3u8
CCTV1,http://27.10.208.176:8005/udp/225.0.4.74:7980
CCTV2,http://27.10.208.176:8005/udp/225.0.4.132:7980
CCTV3,http://27.10.208.176:8005/udp/225.0.4.142:7980
CCTV4,http://27.10.208.176:8005/udp/225.0.4.176:7980
CCTV5,http://27.10.208.176:8005/udp/225.0.4.143:7980
CCTV5+,http://27.10.208.176:8005/udp/225.0.4.73:7980
CCTV6,http://27.10.208.176:8005/udp/225.0.4.144:7980
CCTV7,http://27.10.208.176:8005/udp/225.0.4.127:7980
CCTV8,http://27.10.208.176:8005/udp/225.0.4.137:7980
CCTV9,http://27.10.208.176:8005/udp/225.0.4.131:7980
CCTV10,http://27.10.208.176:8005/udp/225.0.4.130:7980
CCTV11,http://27.10.208.176:8005/udp/225.0.4.218:7980
CCTV12,http://27.10.208.176:8005/udp/225.0.4.129:7980
CCTV13,http://27.10.208.176:8005/udp/225.0.4.219:7980
CCTV14,http://27.10.208.176:8005/udp/225.0.4.128:7980
CCTV15,http://27.10.208.176:8005/udp/225.0.4.220:7980
CCTV17,http://27.10.208.176:8005/udp/225.0.4.179:7980
CGTN,http://27.10.208.176:8005/udp/225.0.4.12:7980
CCTV1,http://116.117.104.38:8096/tsfile/live/0001_1.m3u8
CCTV2,http://116.117.104.38:8096/tsfile/live/0002_1.m3u8
CCTV3,http://116.117.104.38:8096/tsfile/live/0003_1.m3u8
CCTV4,http://116.117.104.38:8096/tsfile/live/0004_1.m3u8
CCTV5,http://116.117.104.38:8096/tsfile/live/0005_1.m3u8
CCTV6,http://116.117.104.38:8096/tsfile/live/0006_1.m3u8
CCTV7,http://116.117.104.38:8096/tsfile/live/0007_1.m3u8
CCTV8,http://116.117.104.38:8096/tsfile/live/0008_1.m3u8
CCTV9,http://116.117.104.38:8096/tsfile/live/0009_1.m3u8
CCTV10,http://116.117.104.38:8096/tsfile/live/0010_1.m3u8
CCTV11,http://116.117.104.38:8096/tsfile/live/0011_1.m3u8
CCTV12,http://116.117.104.38:8096/tsfile/live/0012_1.m3u8
CCTV13,http://116.117.104.38:8096/tsfile/live/0013_1.m3u8
